				#调值 [1]44 [2]24 [3]213 [4]53
字	声韵	调	例词	
热	iɛ	53	热闹	
人	iən	24	人们，人力	
仁	iən	24	仁义	
肉	iəu	53	猪肉	
闰	iuən	53	闰月	
绕	iɔ	53	绕路	
纫	iɛn	53	缝纫机	
让	iɑŋ	53	让开	
日	i	53	日头	
揉	iəu	24	揉捏	
柔	iəu	24	温柔	
褥	y	53	被褥	
认	iən	53	认识，认得	
任	iən	53	上任	
惹	iɛ	213	惹祸	
忍	iən	213	忍让	
染	iɛn	213	染缸	
冉	iɛn	213	冉冉	
软	yɛn	213	柔软	
容	iuŋ	24	容易	
荣	iuŋ	24	繁荣	
扔	ləŋ	33	扔掉	
乳	lu	213	豆腐乳	
饿	nɤ	53	饿死	
讹	nɤ	24	讹人	
鹅	nɤ	24	大鹅	
熬	nɔ	24	熬药	
挨	nai	44	挨打	
安	nan	44	安家	
爱	nai	53	可爱	
案	nan	53	案件	
岸	nan	53	岸边	
矮	nai	213	个子矮	
袄	nɔ	213	棉袄	
撞	tʂʰuɑŋ	53	撞车	
贮	tʂʰuɑŋ	53	贮藏	
脯	pʰu	213	果脯	
胞	pʰa	3	同胞	
蝶	tʰiɛ	213	蝴蝶	
浸	tɕʰin	53	浸湿	
泊	pɤ	33	湖泊	
琶	pa	53	琵琶	
街	kai	44	大街	
客	tɕʰiɛ	213	来客（了），客人	
解	kai	213	解开	
更	tɕiŋ	44	三更半夜	
更	kəŋ	44	更改	
颈	kəŋ	213	后脖颈	
唾	tʰu	53	唾沫	
塑	ʂuə	53	塑料	
做	tsəu	53	做饭	
赂	luə	53	贿赂	
取	tɕʰiəu	21	取来	
逮	tei	44	逮起来	
厉	liɛ	53	厉害	
披	pʰei	44	披上	
起	tɕʰiɛ	213	起来	
谁	sei	24	是谁	
尾	i	213	尾巴	
按	nən	53	按住	
乱	lan	53	乱套	
卵	lan	213	卵子	
暖	nau	213	暖和	
并	pin	53	并一起	
泞	nəŋ	53	地泞	
脓	nəŋ	24	化脓	
粽	tsəŋ	53	粽子	
弄	tsəŋ	53	弄坏了	
割	ka	44	割掉	
捺	nai	53	按捺	
秸	kai	44	麦秸	
屑	ɕyɛ	53	纸屑	
豁	xɤ	44	豁出来	
搁	kau	24	搁起来	
鹊	tɕʰi		喜鹊	
削	ɕiau	44	削减	
约	iau	44	大约	
学	ɕʰiau	24	学习	
觉	tɕiau	213	觉得	
乐	iau	53	音乐	
角	tɕia	213	四个角	
墨	mi	53	墨汁	
塞	sei	44	塞住	
色	sai	213	红色	
卜	pei	53	萝卜	
熟	ʂou	24	熟人	
薄	pɤ	24	薄膜	
